indicatorcode,indicatorname,topic,type,uniquevisitors,pageviews,maybedisagg,derived,disaggregation,primary,estimatetypemodeledornot,i,sum_obs,mean_obs_pc,max_obs_pc,year_max,year_min,avg_year_max,avg_year_min,avg_year_avg,cy_cov,cy_cov1960,cy_cov1970,cy_cov1980,cy_cov1990,cy_cov2000,cy_cov2010
ag.agr.trac.no,"Agricultural machinery, tractors",Environment: Agricultural production,Primary,2801,5129,0,0,0,1,,AG.AGR.TRAC.NO,6108,28.14746544,49,2009,1961,1997.5883,1965.8877,1981.7249,0.46912444,0.65207374,0.65852535,0.6110599,0.61981565,0.27327189,0
ag.con.fert.pt.zs,Fertilizer consumption (% of fertilizer production),Environment: Agricultural production,Derived,1715,2818,0,1,0,0,,AG.CON.FERT.PT.ZS,1156,5.32718894,15,2016,2002,2015.0804,2002.7471,2008.9091,0.088786483,0,0,0,0,0.28064516,0.25207373
ag.con.fert.zs,Fertilizer consumption (kilograms per hectare of arable land),Environment: Agricultural production,Derived,6777,14390,0,1,0,0,,AG.CON.FERT.ZS,2383,10.98156682,15,2016,2002,2015.9213,2002.4728,2009.1974,0.18302612,0,0,0,0,0.57373273,0.52442396
ag.lnd.agri.k2,Agricultural land (sq. km),Environment: Land use,Derived,9814,19636,0,1,0,0,,AG.LND.AGRI.K2,10656,49.10599078,56,2016,1961,2015.9574,1966.455,1991.2062,0.81843317,0.73410136,0.81566823,0.81566823,0.91520739,0.95345622,0.6764977
ag.lnd.agri.zs,Agricultural land (% of land area),Environment: Land use,Derived,28153,53387,0,1,0,0,,AG.LND.AGRI.ZS,10644,49.05069124,56,2016,1961,2015.9569,1966.0287,1990.9928,0.8175115,0.73410136,0.81566823,0.81566823,0.91520739,0.95345622,0.67096776
ag.lnd.arbl.ha,Arable land (hectares),Environment: Land use,Primary,2896,5731,0,0,0,1,,AG.LND.ARBL.HA,10513,48.44700461,56,2016,1961,2015.9519,1966.4087,1991.1803,0.80745006,0.72165895,0.80184335,0.80414748,0.90599078,0.94423962,0.66682029
ag.lnd.arbl.ha.pc,Arable land (hectares per person),Environment: Land use,Derived,5873,11843,0,1,0,0,,AG.LND.ARBL.HA.PC,10470,48.24884793,56,2016,1961,2015.9275,1966.3334,1991.1292,0.80414748,0.71751148,0.79723501,0.79953915,0.90460831,0.94423962,0.66175115
ag.lnd.arbl.zs,Arable land (% of land area),Environment: Land use,Derived,15458,27013,0,1,0,0,,AG.LND.ARBL.ZS,10507,48.41935484,56,2016,1961,2015.9517,1966.1932,1991.0725,0.80698925,0.72165895,0.80184335,0.80414748,0.90599078,0.94423962,0.66405529
ag.lnd.crel.ha,Land under cereal production (hectares),Environment: Agricultural production,Primary,3154,5393,0,0,0,1,,AG.LND.CREL.HA,9170,42.25806452,57,2017,1961,2016.7845,1967.1216,1991.953,0.70430106,0.60414743,0.6829493,0.68663597,0.77649772,0.81474656,0.66082948
ag.lnd.crop.zs,Permanent cropland (% of land area),Environment: Land use,Derived,1039,1691,0,1,0,0,,AG.LND.CROP.ZS,9892,45.58525346,56,2016,1961,2016,1966.5153,1991.2604,0.75975424,0.66774189,0.74608296,0.75483871,0.85990781,0.89769584,0.63225806
